rest_name,rest_zone,rating,review,rest_address,rest_type,rest_cost,rest_time
Hong Kong Cafe,Thamrin,4.3,(461 Ulasan),"Jl. Sunda No. 5, Thamrin, Jakarta","Chinese, Dimsum",Harga untuk 2:Rp200.000,Jam:                                      11h - 22h (Sen-Min)
Saigon Delight,"Grand Indonesia Mall, Thamrin",4.5,(507 Ulasan),"Grand Indonesia Mall, East Mall, Lantai 3A, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",Vietnam,Harga untuk 2:Rp300.000,Jam:                                      10h - 22h (Sen-Min)
Sailendra - JW Marriott Hotel,"JW Marriott Hotel, Kuningan",4.1,(947 Ulasan),"JW Marriott Hotel Jakarta, Kawasan Mega Kuningan, Jl. Dr Ide Anak Agung Gde Agung, Kuningan, Jakarta 12950","Indonesia, Jepang, India, Barat, Asia",Harga untuk 2:Rp600.000,Jam:                                      7h - 21h (Sen-Min)
Bakso Akiaw 99,Mangga Besar,4.9,(811 Ulasan),"Jl. Mangga Besar Raya No. 2B, Mangga Besar, Jakarta","Bakso, Chinese",Harga untuk 2:Rp120.000,Jam:                                      14h - 23h (Sen-Min)
Santhai,"Kota Kasablanka, Tebet",4.3,(607 Ulasan),"Kota Kasablanka, Lantai Lower Ground, Jl. Casablanca Raya, Tebet, Jakarta",Thai,Harga untuk 2:Rp260.000,"Jam:                                      11h - 22h (Sen-Sab),9h - 22h (Min)"
Golden Lamian,"Grand Indonesia Mall, Thamrin",4.0,(233 Ulasan),"Grand Indonesia Mall, West Mall, Lantai 5, FoodPrint, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta","Bakmi, Chinese",Harga untuk 2:Rp140.000,Jam:                                      10h - 22h (Sen-Min)
Kam’s Roast,"Plaza Indonesia, Thamrin",4.3,(305 Ulasan),"Plaza Indonesia, Lantai 3, Jl. MH Thamrin, Thamrin, Jakarta",Chinese,Harga untuk 2:Rp400.000,Jam:                                      10h - 22h (Sen-Min)
Born Ga,Senopati,4.8,(660 Ulasan),"Jl. Wolter Monginsidi No. 24, Senopati, Jakarta","Korea, Barbekyu, Grill House",Harga untuk 2:Rp400.000,Jam:                                      11h 30m - 22h (Sen-Min)
Jittlada Restaurant,"Grand Indonesia Mall, Thamrin",4.0,(251 Ulasan),"Grand Indonesia Mall, Lantai 3A, Sky Bridge, Jl. M.H. Thamrin No. 1, Thamrin, Jakarta",Thai,Harga untuk 2:Rp250.000,Jam:                                      10h - 22h (Sen-Min)
Bakmi Cong Sim Medan Pasar Rame,Mangga Besar,4.6,(368 Ulasan),"Jl. Mangga Besar Raya No. 2J, Mangga Besar, Jakarta","Bakmi, Medan, Chinese",Harga untuk 2:Rp100.000,"Jam:                                      0h 1m - 3h, 6h - 24h (Sen-Min)"
Dim Sum Inc.,"Plaza Festival, Kuningan",3.9,(636 Ulasan),"Plaza Festival, Lantai Lower Ground, Jl. HR Rasuna Said, Kuningan, Jakarta","Dimsum, Chinese",Harga untuk 2:Rp200.000,Jam:                                      24 Jam (Sen-Min)
Magal Mapogalmegi BBQ,Senopati,4.6,(882 Ulasan),"Jl. Senopati No. 60, Senopati, Jakarta","Barbekyu, Korea, Grill House",Harga untuk 2:Rp300.000,Jam:                                      11h 30m - 22h (Sen-Min)
Nara,Senopati,4.2,(225 Ulasan),"Jl. Senopati No. 88, Senopati, Jakarta",Jepang,Harga untuk 2:Rp500.000,"Jam:                                      10h - 3h (Sen, Sel, Rab, Kam, Min), 10h - 4h (Jum-Sab)"
Taeyang Sung,"Neo SOHO Mall, Tanjung Duren",4.5,(809 Ulasan),"Neo SOHO Mall, Lantai Lower Ground, Jl. Letjen. S. Parman, Tanjung Duren, Jakarta",Korea,Harga untuk 2:Rp200.000,"Jam:                                      11h - 22h (Sen),11h - 20h (Sel-Jum),10h - 21h (Sab-Min)"
Panda Noodle,Jatisampurna,3.2,(9 Ulasan),"Ruko Madison Square, SHC 1 No. 5, Jatisampurna, Bekasi",Bakmi,Harga untuk 2:Rp70.000,"Jam:                                      8h - 21h (Sen-Jum),8h - 22h (Sab-Min)"
Bakmi Toko Tiga,Menteng,3.7,(135 Ulasan),"Jl. KH Wahid Hasyim No. 63A, Menteng, Jakarta",Chinese,Harga untuk 2:Rp130.000,Jam:                                      9h - 22h (Sen-Min)
Do An,"Menteng Central, Menteng",3.9,(115 Ulasan),"Menteng Central, Lantai Ground, Jl. HOS Cokroaminoto, Menteng, Jakarta",Vietnam,Harga untuk 2:Rp200.000,Jam:                                      11h - 21h (Sen-Min)
The Social Pot Shabu and Grill,"Lotte Shopping Avenue, Karet",4.6,(771 Ulasan),"Lotte Shopping Avenue, Lantai 3F, Jl. Prof Dr Satrio, Karet, Jakarta","Jepang, Grill House",Harga untuk 2:Rp300.000,Jam:                                      10h - 22h (Sen-Min)
