,Restaurant_ID,Name,Type,Area,Rating,Review,Restaurant Address,Latitude,Longitude,Price
47,47,Sushi Masa,"['Casual Dining', 'Sushi', 'Japanese']",Pluit,4.9,1544,"Jl. Tuna Raya No. 5, Pluit, Jakarta",-61.013.300.000,106.800.190.000,
48,48,Warung MJS,"['Casual Dining', 'Jawa', 'Indonesian']",Setiabudi,4.4,1223,"Jl. Setiabudi Tengah No.11, Setiabudi, Jakarta",-62.092.899.434,106.826.593.838,
49,49,Bluegrass Bar & Grill,"['Bar', 'Casual Dining', 'Grill', 'American', 'European']",Kuningan,4.5,1020,"Bakrie Tower, Lantai Ground, Jl. H.R. Rasuna Said, Kuningan, Jakarta",-62.197.300.842,106.834.257.580,
50,50,Gordi HQ,"['Café', 'Coffee']",Cilandak,4.3,658,"Jl. Jeruk Purut Dalam No. 25, Cilandak, Jakarta 12560",-62.841.950.000,106.811.778.000,
51,51,MONKS,"['Casual Dining', 'Café', 'Western', 'Asian', 'Cafe']",Kelapa Gading,4.2,908,"Komplek Graha Boulevard Timur, Summarecon Kelapa Gading, Jl. Boulevard Timur, Blok ND 1 No. 51, Kelapa Gading, Jakarta",-61.640.986.132,106.911.238.655,
52,52,Por Que No,"['Casual Dining', 'Spanish']",Menteng,4.1,597,"De Ritz Building, Lantai 5, Jl. HOS. Cokroaminoto No. 91, Menteng, Jakarta",-61.978.970.000,106.828.710.000,
53,53,Crematology Coffee Roasters,"['Café', 'Casual Dining', 'Coffee', 'Italian', 'Western', 'Desserts']",Senopati,4.2,1221,"Jl. Suryo No. 25, Senopati, Jakarta",-62.355.727.176,106.813.828.870,
54,54,Two Stories,"['Casual Dining', 'Western']",Bogor Timur,4.1,1217,"Jl. Pajajaran Indah V No. 7, Bogor Timur, Bogor",-66.094.410.000,106.812.864.000,
55,55,Osteria GIA,"['Casual Dining', 'Italian']",SCBD,4.8,452,"Pacific Place Mall, Lantai Ground, Jl. Jenderal Sudirman, SCBD, Jakarta",-62.250.470.000,106.810.309.000,
56,56,Tokyo Skipjack,"['Casual Dining', 'Japanese', 'Steak']",Blok M,4.5,1298,"Jl. Bulungan Raya No. 16, Blok M, Jakarta",-62.425.880.000,106.795.975.000,
57,57,Ottoman's Coffee Brewers,"['Café', 'Coffee', 'Western', 'Italian']",Kuningan,4.2,826,"Sopo Del Tower, Lantai Ground, Jl. Mega Kuningan Barat III, Kuningan, Jakarta",-62.312.650.000,106.823.951.000,
58,58,dia.lo.gue,"['Casual Dining', 'Western', 'Italian', 'Indonesian']",Kemang,3.9,886,"Jl. Kemang Selatan Raya No. 99A, Kemang, Jakarta",-62.729.090.000,106.816.341.000,
59,59,The Garden,"['Casual Dining', 'Fusion', 'Indonesian', 'Japanese', 'Western']",Pantai Indah Kapuk,4.4,1695,"Ruko Garden House, Blok B No. 27, Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Jakarta",-61.104.530.000,106.737.743.000,
60,60,Union,"['Casual Dining', 'Italian', 'American', 'Desserts']",Senayan,4.5,2226,"Plaza Senayan, Lantai Ground, Jl. Asia Afrika, Senayan, Jakarta",-62.243.110.000,106.798.983.000,
61,61,Bansan,"['Quick Bites', 'Japanese']",Fatmawati,4.8,921,"Jl. Cipete Raya No. 65, Fatmawati, Jakarta",-62.777.770.000,106.800.374.000,
62,62,Harlequin Bistro,"['Casual Dining', 'Western', 'Asian', 'Bakery']",Kemang,4.1,531,"Jl. Kemang 1 No. 10A-10B, Kemang, Jakarta 12730",-62.579.430.000,106.813.293.000,
63,63,Kila Kila by Akasya,"['Casual Dining', 'Indonesian']",SCBD,4.3,647,"Lot 4, Lantai 7, Jl. Jend. Sudirman Kav. 52-53, SCBD, Jakarta",-62.236.030.000,106.810.778.000,
64,64,Fujin Japanese Teppanyaki & Sake,"['Casual Dining', 'Bar', 'Japanese']",Senopati,4.5,792,"Jl. Gunawarman No. 21, Senopati, Jakarta",-62.331.393.431,106.807.822.734,
65,65,Maple & Oak,"['Casual Dining', 'Western']",Menteng,4.3,933,"De Ritz Building, Lantai Ground, Jl. HOS. Cokroaminoto No. 91, Menteng, Jakarta 10310",-61.980.510.000,106.828.784.000,
66,66,The Café - Hotel Mulia,"['Fine Dining', 'Indonesian', 'Western']",Senayan,4.9,2009,"Hotel Mulia, Jl. Asia Afrika, Senayan, Jakarta",-62.149.550.000,106.797.046.000,
67,67,Segarra,"['Casual Dining', 'Lounge', 'Seafood', 'Western', 'Asian']",Ancol,4.2,1126,"Taman Impian Jaya Ancol, Jl. Lodan Timur, Ancol, Jakarta",-61.163.100.000,106.858.079.000,
68,68,7 Speed Coffee,"['Café', 'Coffee', 'Italian', 'Desserts']",Kemang,4.4,594,"Jl. Kemang Utara Raya No. 33-1, Kemang, Jakarta",-62.578.448.513,106.820.862.628,
69,69,Kopi Nalar,"['Café', 'Quick Bites', 'Coffee', 'Western']",Senopati,4.3,764,"Jl. Prof. Joko Sutono No. 7, Senopati, Jakarta",-62.423.175.153,106.807.894.818,
70,70,OJJU,"['Casual Dining', 'Korean']",Tebet,4.2,3188,"Kota Kasablanka, Lantai Upper Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta",-62.235.280.000,106.842.437.000,
71,71,Loewy,"['Casual Dining', 'Bar', 'Western']",Kuningan,4.3,1196,"Oakwood, Lantai Ground, Jl. Lingkar Mega Kuningan, Kuningan, Jakarta",-62.274.603.145,106.825.629.249,
72,72,Lewis & Carroll Tea,"['Café', 'Casual Dining', 'Coffee', 'Tea', 'Western']",Blok M,4.5,713,"Jl. Bumi No. 4, Blok M, Jakarta",-62.367.250.000,106.789.863.000,
73,73,Sudestada Grill," Bar & Cafe['Casual Dining', 'Grill', 'South American']",Thamrin,4.6,488,"Jl. Irian No. 18, Thamrin, Jakarta 10350",-61.918.470.000,106.824.136.000,
74,74,Shabu Ghin,"['Casual Dining', 'Japanese']",Senopati,4.4,959,"Jl. Wolter Monginsidi No. 53, Senopati, Jakarta",-62.390.206.176,106.810.260.862,
75,75,Fedwell,"['Café', 'Quick Bites', 'Healthy Food']",Senopati,4.6,897,"Jl. Senopati No. 82, Senopati, Jakarta",-62.327.937.170,106.810.990.087,
76,76,Trafique Coffee,"['Café', 'Cafe']",Senayan,4.3,851,"Jl. Hang Tuah Raya No. 9, Senayan, Jakarta",-62.304.010.000,106.797.760.000,
77,77,SKYLOFT - All Seasons Hotel,"['Casual Dining', 'Lounge', 'Indonesian', 'Western']",Thamrin,3.9,455,"All Seasons Hotel, Lantai 14, Jl. Talang Betutu No. 2, Thamrin, Jakarta",-62.014.070.000,106.822.151.000,
78,78,BASQUE Bar de Tapas,"['Casual Dining', 'Bar', 'Spanish']",Kuningan,4.5,785,"Noble House Building, Lantai 8, Jl. Mega Kuningan Barat, Kuningan, Jakarta 12950",-62.282.180.000,106.825.387.000,
79,79,Kimukatsu,"['Casual Dining', 'Japanese']",Tebet,4.3,1336,"Kota Kasablanka, Lantai Upper Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta",-62.227.890.000,106.842.023.000,
80,80,Ruth's Chris Steak House,"['Fine Dining', 'Steak']",Karet,4.6,561,"Somerset Grand Citra, Lantai Ground, Jl. Prof Dr Satrio Kav 1, Karet, Jakarta",-62.248.399.215,106.824.214.384,
81,81,ONNI House,"['Casual Dining', 'Indonesian', 'Japanese']",Tanjung Duren,4.3,1255,"Jl Tanjung Duren Utara V No. 242, Tanjung Duren, Jakarta",-61.731.810.000,106.781.495.000,
82,82,Tugu Kunstkring Paleis,"['Fine Dining', 'Betawi', 'Jawa', 'Western', 'Indonesian']",Menteng,4.7,645,"Jl. Teuku Umar No. 1, Menteng, Jakarta",-61.888.410.000,106.833.331.000,
83,83,Satoo - Shangri-La Hotel,"['Fine Dining', 'Indonesian', 'Western']",Sudirman,4.4,1736,"Shangri-La Hotel, Jl. Jendral Sudirman Kav. 1, Sudirman, Jakarta",-62.030.536.912,106.818.792.633,
84,84,Hello Sunday,"['Casual Dining', 'Italian', 'Asian', 'Desserts', 'Coffee']",Cikini,4.4,797,"Metropole 21 Lantai 2, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",-62.001.600.000,106.843.646.000,
85,85,HONU Poké & Matcha Bar,"['Casual Dining', 'Japanese', 'Tea', 'Beverages', 'Healthy Food']",Kemang,4.8,1071,"Jl. Kemang Selatan Raya No. 125, Kemang, Jakarta",-62.729.260.000,106.815.732.000,
