Restaurant Name;Restaurant Type;Restaurant Area;Restaurant Rating;Restaurant Review;Restaurant Address;Latitude;Longitude;Price
Sushi Masa;['Casual Dining', 'Sushi', 'Japanese'];Pluit;4.9;1,544 Reviews;Jl. Tuna Raya No. 5, Pluit, Jakarta;-61.013.300.000;106.800.190.000;Booking
Warung MJS;['Casual Dining', 'Jawa', 'Indonesian'];Setiabudi;4.4;1,223 Reviews;Jl. Setiabudi Tengah No.11, Setiabudi, Jakarta;-62.092.899.434;106.826.593.838;Rp170.000 for two people (approx.)
Bluegrass Bar & Grill;['Bar', 'Casual Dining', 'Grill', 'American', 'European'];Kuningan;4.5;1,020 Reviews;Bakrie Tower, Lantai Ground, Jl. H.R. Rasuna Said, Kuningan, Jakarta;-62.197.300.842;106.834.257.580;Good Food and Good Ambience
Gordi HQ;['Café', 'Coffee'];Cilandak;4.3;658 Reviews;Jl. Jeruk Purut Dalam No. 25, Cilandak, Jakarta 12560;-62.841.950.000;106.811.778.000;Rp150.000 for two people (approx.)
MONKS;['Casual Dining', 'Café', 'Western', 'Asian', 'Cafe'];Kelapa Gading;4.2;908 Reviews;Komplek Graha Boulevard Timur, Summarecon Kelapa Gading, Jl. Boulevard Timur, Blok ND 1 No. 51, Kelapa Gading, Jakarta;-61.640.986.132;106.911.238.655;Rp250.000 for two people (approx.)
Por Que No;['Casual Dining', 'Spanish'];Menteng;4.1;597 Reviews;De Ritz Building, Lantai 5, Jl. HOS. Cokroaminoto No. 91, Menteng, Jakarta;-61.978.970.000;106.828.710.000;Rp350.000 for two people (approx.) Without alcohol
Crematology Coffee Roasters;['Café', 'Casual Dining', 'Coffee', 'Italian', 'Western', 'Desserts'];Senopati;4.2;1,221 Reviews;Jl. Suryo No. 25, Senopati, Jakarta;-62.355.727.176;106.813.828.870;Couple Friendly
Two Stories;['Casual Dining', 'Western'];Bogor Timur;4.1;1,217 Reviews;Jl. Pajajaran Indah V No. 7, Bogor Timur, Bogor;-66.094.410.000;106.812.864.000;Rp200.000 for two people (approx.) Without alcohol
Osteria GIA;['Casual Dining', 'Italian'];SCBD;4.8;452 Reviews;Pacific Place Mall, Lantai Ground, Jl. Jenderal Sudirman, SCBD, Jakarta;-62.250.470.000;106.810.309.000;Rp500.000 for two people (approx.) Without alcohol
Tokyo Skipjack;['Casual Dining', 'Japanese', 'Steak'];Blok M;4.5;1,298 Reviews;Jl. Bulungan Raya No. 16, Blok M, Jakarta;-62.425.880.000;106.795.975.000;Fair Price
Ottoman's Coffee Brewers;['Café', 'Coffee', 'Western', 'Italian'];Kuningan;4.2;826 Reviews;Sopo Del Tower, Lantai Ground, Jl. Mega Kuningan Barat III, Kuningan, Jakarta;-62.312.650.000;106.823.951.000;Rp200.000 for two people (approx.)
dia.lo.gue;['Casual Dining', 'Western', 'Italian', 'Indonesian'];Kemang;3.9;886 Reviews;Jl. Kemang Selatan Raya No. 99A, Kemang, Jakarta;-62.729.090.000;106.816.341.000;Stairs
The Garden;['Casual Dining', 'Fusion', 'Indonesian', 'Japanese', 'Western'];Pantai Indah Kapuk;4.4;1,695 Reviews;Ruko Garden House, Blok B No. 27, Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Jakarta;-61.104.530.000;106.737.743.000;Rp600.000 for two people (approx.) Without alcohol
Union;['Casual Dining', 'Italian', 'American', 'Desserts'];Senayan;4.5;2,226 Reviews;Plaza Senayan, Lantai Ground, Jl. Asia Afrika, Senayan, Jakarta;-62.243.110.000;106.798.983.000;Best Place
Bansan;['Quick Bites', 'Japanese'];Fatmawati;4.8;921 Reviews;Jl. Cipete Raya No. 65, Fatmawati, Jakarta;-62.777.770.000;106.800.374.000;Rp150.000 for two people (approx.)
Harlequin Bistro;['Casual Dining', 'Western', 'Asian', 'Bakery'];Kemang;4.1;531 Reviews;Jl. Kemang 1 No. 10A-10B, Kemang, Jakarta 12730;-62.579.430.000;106.813.293.000;Rp220.000 for two people (approx.)
